N,P,K,pH,recommended_N_kg_per_acre,recommended_P2O5_kg_per_acre,recommended_K2O_kg_per_acre,urea,ssp,mop
95.0,7.0,103.0,8.02,51.24,28.56,24.59,111.4,178.53,40.99
58.0,5.0,320.0,8.15,57.57,29.06,15.0,125.15,181.64,25.0
64.0,9.0,191.0,8.04,57.8,27.45,19.76,125.65,171.57,32.93
98.0,10.0,138.0,6.45,51.15,27.63,22.85,111.2,172.69,38.08
92.0,7.0,110.0,8.04,50.04,28.6,23.7,108.78,178.76,39.5
109.0,13.0,181.0,7.27,47.16,26.1,20.7,102.52,163.15,34.5
103.0,21.0,197.0,6.72,49.5,22.7,19.13,107.61,141.89,31.89
60.0,10.0,118.0,7.79,57.75,27.03,23.36,125.54,168.91,38.94
55.0,8.0,198.0,7.75,58.99,28.6,19.71,128.23,178.77,32.86
84.0,6.0,146.0,5.51,52.52,29.28,22.55,114.17,182.98,37.59
87.0,17.0,136.0,6.28,53.3,23.36,22.21,115.88,145.99,37.01
103.0,25.0,194.0,7.32,50.02,21.37,20.25,108.74,133.53,33.75
99.0,17.0,185.0,7.39,50.25,23.8,20.23,109.25,148.75,33.72
66.0,15.0,195.0,7.8,57.7,24.01,19.29,125.44,150.04,32.16
104.0,19.0,161.0,,49.57,22.57,22.14,107.77,141.08,36.89
113.0,27.0,169.0,6.71,46.71,18.99,20.94,101.55,118.67,34.9
88.0,25.0,150.0,7.63,52.7,20.53,21.99,114.55,128.32,36.64
118.0,23.0,159.0,7.5,45.63,21.24,21.13,99.2,132.72,35.22
51.0,11.0,184.0,7.99,60.5,26.6,20.25,131.53,166.24,33.75
113.0,17.0,174.0,7.04,47.36,24.47,20.8,102.96,152.95,34.66
85.0,21.0,139.0,7.54,52.85,22.5,22.67,114.9,140.65,37.78
108.0,23.0,170.0,6.65,47.86,21.59,20.41,104.03,134.94,34.01
71.0,13.0,155.0,7.95,56.78,26.15,21.76,123.43,163.41,36.27
68.0,8.0,119.0,5.57,56.28,28.52,23.83,122.34,178.25,39.71
63.0,8.0,184.0,8.79,57.06,26.89,19.29,124.04,168.03,32.16
98.0,21.0,179.0,7.38,50.12,22.08,19.52,108.95,138.01,32.54
125.0,21.0,164.0,7.42,45.43,20.99,21.44,98.75,131.2,35.74
104.0,21.0,114.0,7.55,49.49,22.32,22.86,107.59,139.51,38.1
83.0,14.0,113.0,7.4,53.73,25.45,24.32,116.8,159.05,40.54
71.0,10.0,149.0,7.74,56.14,27.88,21.82,122.05,174.23,36.37
74.0,9.0,18.0,8.01,56.91,28.41,30.57,123.72,177.58,50.96
85.0,15.0,110.0,7.41,52.67,25.12,24.15,114.51,157.01,40.26
95.0,7.0,194.0,1.55,50.59,28.3,19.69,109.98,176.87,32.82
79.0,15.0,121.0,7.69,53.55,25.29,23.54,116.41,158.07,39.24
